,Voting,Jury,Govt_Politics,American_Flag,US_Census,Pledge,Military Support,Respecting_Others,Believing in God,Protesting,Racism_US,Racism_Policing,Society_Whole,Mainstream_Media,Way_People_Talk,Q3_6,educ,race,gender,income_cat,voter_category,age_binned
108,Very Important,Somewhat important,Very Important,Not so important,Very Important,Not at all important,Somewhat important,Very Important,Very Important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,Black,Male,$125k or more,sporadic,55-65
109,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,sporadic,66-94
110,Very Important,Very Important,Not so important,Not so important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,College,Black,Male,$75-125k,sporadic,37-54
111,Very Important,Not so important,Somewhat important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Some college,White,Female,$125k or more,sporadic,37-54
112,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,College,Black,Female,$125k or more,sporadic,66-94
113,Very Important,Very Important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,College,White,Female,$40-75k,always,55-65
114,Very Important,Somewhat important,Not so important,Not so important,Very Important,Not so important,Very Important,Somewhat important,Not so important,Not so important,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Some college,White,Male,$75-125k,always,55-65
115,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,High school or less,White,Female,$125k or more,always,66-94
116,Very Important,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,College,Hispanic,Female,$40-75k,always,66-94
117,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat important,Not so important,Not so important,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Male,$75-125k,always,37-54
118,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Some college,Black,Female,$75-125k,always,66-94
119,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Not so important,Somewhat important,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Some college,White,Female,$125k or more,always,55-65
120,Very Important,Very Important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Not so important,Not so important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,College,White,Male,$125k or more,sporadic,55-65
121,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,College,White,Female,$125k or more,sporadic,37-54
123,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Male,$75-125k,rarely/never,66-94
124,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,High school or less,White,Female,$75-125k,always,66-94
125,Very Important,Very Important,Very Important,Not at all important,Very Important,Not so important,Somewhat important,Somewhat important,Not at all important,Not so important,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,College,Hispanic,Male,$75-125k,sporadic,37-54
126,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Somewhat important,Not so important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,College,White,Male,Less than $40k,always,66-94
127,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,High school or less,White,Male,$40-75k,sporadic,55-65
128,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Not at all important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Some college,White,Female,$40-75k,always,66-94
129,Very Important,Somewhat important,Not so important,Not at all important,Somewhat important,Not at all important,Somewhat important,Very Important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Some college,Black,Male,Less than $40k,rarely/never,22-36
130,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Some college,White,Male,$125k or more,always,55-65
131,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Some college,White,Female,$75-125k,rarely/never,55-65
132,Very Important,Not at all important,Not at all important,Not so important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Not at all important,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,High school or less,Black,Female,Less than $40k,rarely/never,55-65
133,Very Important,Not at all important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Not so important,Very Important,Not at all important,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,College,White,Male,$75-125k,always,22-36
134,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Not so important,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$40-75k,always,22-36
136,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,College,Black,Female,$75-125k,sporadic,66-94
137,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,College,White,Female,$75-125k,always,66-94
138,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Very Important,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,always,55-65
139,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Some college,White,Male,$75-125k,sporadic,55-65
140,Very Important,Very Important,Very Important,Not at all important,Very Important,Not at all important,Very Important,Not at all important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,College,White,Male,$125k or more,always,66-94
141,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Some college,White,Female,$125k or more,always,37-54
143,Not so important,Not so important,Not so important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Not so important,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,High school or less,White,Female,$75-125k,rarely/never,22-36
144,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Not at all important,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Some college,White,Male,$75-125k,always,55-65
146,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not at all important,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,High school or less,White,Female,$40-75k,always,66-94
147,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Some college,Black,Female,$40-75k,sporadic,66-94
148,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,High school or less,White,Female,$75-125k,sporadic,55-65
149,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Male,$75-125k,sporadic,66-94
150,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,High school or less,White,Male,Less than $40k,rarely/never,37-54
151,Very Important,Somewhat important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Some college,Black,Male,$75-125k,sporadic,55-65
152,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,College,White,Male,$40-75k,always,37-54
153,Very Important,Very Important,Very Important,Not so important,Somewhat important,Not so important,Somewhat important,Not so important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Some college,White,Female,$75-125k,always,22-36
154,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Some college,White,Female,$75-125k,always,55-65
155,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Not so important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,rarely/never,55-65
156,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Some college,White,Female,Less than $40k,always,55-65
